ma_i_an;Ma-i-an;Ma-i-an;Ma-i-an;Ma-i-an;Ma-i-an;Ma-i-an;Ma-i-an;Ma-i-an;Ma-i-an;Ma-i-an;Ma-i-an;Ma-i-an;Ma-i-an;x
tagalog;Tagalog;Tagalog;Tagalog;Tagalog;Tagalog;Tagalog;Tagalog;Tagalog;Tagalog;Tagalog;Tagalog;Tagalog;Tagalog;x
cebuan;Cebuan;Cebuan;Cebuan;Cebuan;Cebuan;Cebuan;Cebuan;Cebuan;Cebuan;Cebuan;Cebuan;Cebuan;Cebuan;x
emperor_tagalog;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;x
emperor_female_tagalog;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;x
empire_of_tagalog;Maharastra of;Maharastra of;Maharastra of;Maharastra of;Maharastra of;Maharastra of;Maharastra of;Maharastra of;Maharastra of;Maharastra of;Maharastra of;Maharastra of;Maharastra of;x
king_tagalog;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;x
king_female_tagalog;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;x
kingdom_of_tagalog;Rastra of;Rastra of;Rastra of;Rastra of;Rastra of;Rastra of;Rastra of;Rastra of;Rastra of;Rastra of;Rastra of;Rastra of;Rastra of;x
duke_tagalog;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;x
duke_female_tagalog;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;x
duchy_of_tagalog;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;x
count_tagalog;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;x
count_female_tagalog;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;x
county_of_tagalog;Prabhuta of;Prabhuta of;Prabhuta of;Prabhuta of;Prabhuta of;Prabhuta of;Prabhuta of;Prabhuta of;Prabhuta of;Prabhuta of;Prabhuta of;Prabhuta of;Prabhuta of;x
baron_tagalog;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;x
baron_female_tagalog;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;x
barony_of_tagalog;Pur of;Pur of;Pur of;Pur of;Pur of;Pur of;Pur of;Pur of;Pur of;Pur of;Pur of;Pur of;Pur of;x
title_regent_tagalog;Regent;Regent;Regent;Regent;Regent;Regent;Regent;Regent;Regent;Regent;Regent;Regent;Regent;x
title_ruler_consort_tagalog;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;x
title_ruler_consort_female_tagalog;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;x
baron_title_ruler_consort_tagalog;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;Purpati;x
baron_title_ruler_consort_female_tagalog;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;Purpatni;x
count_title_ruler_consort_tagalog;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;Prabhu;x
count_title_ruler_consort_female_tagalog;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;Prabhuti;x
duke_title_ruler_consort_tagalog;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;x
duke_title_ruler_consort_female_tagalog;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;x
