#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count_cherokee;Vganuweuwe;Vganuweuwe;Vganuweuwe;;Vganuweuwe;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#count_female_cherokee;Vganuweuwe;Vganuweuwe;Vganuweuwe;;Vganuweuwe;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
county_of_cherokee;Anilasdalv of;Anilasdalv de;Anilasdalv von;;Anilasdalv del Jeque;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duke_cherokee;Didatinehi;Didatinehi;Didatinehi;;Didatinehi;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duke_female_cherokee;Didatinehi;Didatinehi;Didatinehi;;Didatinehi;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duchy_of_cherokee;Doyiditlv-gaduhv of;Doyiditlv-gaduhv de;Doyiditlv-gaduhv von;;Doyiditlv-gaduhv de;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
king_cherokee;Ugvwiyuhi;Ugvwiyuhi;Ugvwiyuhi;;Ugvwiyuhi;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
king_female_cherokee;Ugvwiyuaninela;Ugvwiyuaninela;Ugvwiyuaninela;;Ugvwiyuaninela;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kingdom_of_cherokee;Ayeliudotlvsv of;Ayeliudotlvsv de;Ayeliudotlvsv von;;Ayeliudotlvsv de;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emperor_cherokee;Galvladi Ugvwiyuhi;Galvladi Ugvwiyuhi;Galvladi Ugvwiyuhi;;Galvladi Ugvwiyuhi;;;;;;;;;x
#emperor_female_cherokee;Ixik-Kaloomte;Ixik-Kaloomte;Ixik-Kaloomte;;Ixik-Kaloomte;;;;;;;;;x
baron_cherokee;Ugaweu-we;Ugaweu-we;Ugaweu-we;;Ugaweu-we;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#baron_female_cherokee;Batabob;Batabob;Batabob;;Batabob;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barony_of_cherokee;Aniyaska-nvayuda of;Aniyaska-nvayuda de;Aniyaska-nvayuda von;;Aniyaska-nvayuda de;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
job_spiritual_cherokee;Atsiladiyega;Atsiladiyega;Atsiladiyega;;Atsiladiyega;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
job_chancellor_cherokee;Anasga;Anasga;Anasga;;Anasga;;;;;;;;;x
job_marshal_cherokee;Nuguweusv;Nuguweusv;Nuguweusv;;Nuguweusv;;;;;;;;;x
job_treasurer_cherokee;Adelagaya;Adelagaya;Adelagaya;;Adelagaya;;;;;;;;;x
job_spymaster_cherokee;Udelidvugasesdi;Udelidvugasesdi;Udelidvugasesdi;;Udelidvugasesdi;;;;;;;;;x
temple_barony_of_cherokee;Itsati of;Itsati de;Itsati von;;Itsati de;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city_barony_of_cherokee;Sustiyi of;Sustiyi de;Sustiyi;;Sustiyi de;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city_baron_cherokee;Gaduhvugvwiyuhi;Gaduhvugvwiyuhi;Gaduhvugvwiyuhi;;Gaduhvugvwiyuhi;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temple_baron_cherokee;Alatsidohosgi;Alatsidohosgi;Alatsidohosgi;;Alatsidohosgi;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
