#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_pindorama;Pindorama;Pindorama;Pindorama;;Pindorama;;;;;;;;;x
k_pindorama_adj;Pindoraman;Pindoraman;Pindoraman;;Pindoraman;;;;;;;;;x
k_tapuya;Tapuya;Tapuya;Tapuya;;Tapuya;;;;;;;;;x
k_tapuya_adj;Tapuyas;Tapuyas;Tapuyas;;Tapuyas;;;;;;;;;x
count_tupi;Mbururicha;Mbururicha;Mbururicha;;Mbururicha;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#count_female_tupi;Chief;Chief;Chief;;Chief;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#county_of_tupi;Iukaieke of;Iukaieke de;Iukaieke von;;Iukaieke del Jeque;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duke_tupi;Morubixaba;Morubixaba;Morubixaba;;Morubixaba;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#duke_female_tupi;Cacica;Cacica;Cacica;;Cacica;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#duchy_of_tupi;Cacicazgos of;Cacicazgos de;Cacicazgos von;;Cacicazgos de;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
king_tupi;Membore-Uassu;Memboré-Uaçú;Memboré-Uaçú;;Memboré-Uaçú;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#king_female_tupi;Isaun;Isaun;Isaun;;Isaun;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#emperor_tupi;Agweybana;Agweybana;Agweybana;;Agweybana;;;;;;;;;x
baron_tupi;Essomerie;Essomerie;Essomerie;;Essomerie;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#barony_of_tupi;Nitaino of;Nitaino de;Nitaíno von;;Nitaíno de;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
job_spiritual_tupi;Pagé;Pagé;Pagé;;Pagé;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
job_chancellor_tupi;Baquara;Baquara;Baquara;;Baquara;;;;;;;;;x
job_marshal_tupi;Naurú;Naurú;Naurú;;Naurú;;;;;;;;;x
job_treasurer_tupi;Nhambiquara;Nhambiquara;Nhambiquara;;Nhambiquara;;;;;;;;;x
job_spymaster_tupi;Essabara;Eçabara;Eçabara;;Eçabara;;;;;;;;;x
#temple_barony_of_tupi;Ku of;Ku de;Ku von;;Ku de;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#city_barony_of_tupi;Yucayeques of;Yucayeques de;Stadt;;Yucayeques de;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#city_baron_tupi;Tekina;Tekina;Tekina;;Tekina;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#temple_baron_zemi;Bohiques;Bohiques;Bohiques;;Bohiques;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
