#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
norwegian;Nordmann;;;;;;;;;;;;;x
taino;Taino;;;;;;;;;;;;;x
aztec;Aztec;;;;;;;;;;;;;x
Maya;Mayan;;;;;;;;;;;;;x
algonquin;Algonquin;;;;;;;;;;;;;x
beothuk;Beothuk;;;;;;;;;;;;;x
cherokee;Cherokee;;;;;;;;;;;;;x
comanche;Comanche;;;;;;;;;;;;;x
cree;Cree;;;;;;;;;;;;;x
illinois;Illiniwek;;;;;;;;;;;;;x
innu;Innu;;;;;;;;;;;;;x
iroquois;Iroquois;;;;;;;;;;;;;x
muscogee;Muskogee;;;;;;;;;;;;;x
navajo;Navajo;;;;;;;;;;;;;x
hopi;Hopi;;;;;;;;;;;;;x
penutian;Penutian;;;;;;;;;;;;;x
salish;Salish;;;;;;;;;;;;;x
shoshone;Shoshone;;;;;;;;;;;;;x
sioux;Sioux;;;;;;;;;;;;;x
timucua;Timucua;;;;;;;;;;;;;x
carib;Carib;;;;;;;;;;;;;x
inca;Inca;;;;;;;;;;;;;x
quechua;Quechua;;;;;;;;;;;;;x
tupi;Tupi;;;;;;;;;;;;;x
northamerican;North American;;;;;;;;;;;;;x
caribbean;Caribbean;;;;;;;;;;;;;x
southamerican;South American;;;;;;;;;;;;;x
