shamanism;Shamanism;na;na;;na;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE_TONALAMATL;the Tonalamatl;na;Na;;Na;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya;Mayan;na;na;;na;;;;;;;;;x
itzamna;Itzamná;na;na;;na;;;;;;;;;x
GOD_KUKULKAN;Kukulkan;na;na;;na;;;;;;;;;x
GOD_CHAC;Chac;na;na;;na;;;;;;;;;x
GOD_HURACAN;Huracan;na;na;;na;;;;;;;;;x
GOD_ITZAMNA;Itzamná;na;na;;na;;;;;;;;;x
THE_POPOL_VUH;the Popol Vuh;na;Na;;Na;;;;;;;;;x
inca;Incan;na;na;;na;;;;;;;;;x
GOD_INTI;Inti;na;na;;na;;;;;;;;;x
GOD_SI;Si;na;na;;na;;;;;;;;;x
GOD_ILLAPA;Illapa;na;na;;na;;;;;;;;;x
THE_HUACA;the Huaca;na;Na;;Na;;;;;;;;;x
mississippian;Mississippian;na;na;;na;;;;;;;;;x
GOD_RED_HORN;Red Horn;na;na;;na;;;;;;;;;x
GOD_CORN_MOTHER;Maize Mother;na;na;;na;;;;;;;;;x
THE_ANCIENT_RITES;the Ancient Rites;na;na;;na;;;;;;;;;x
kachina;Kachina;na;na;;na;;;;;;;;;xm
GOD_TAWA;Tawa;na;na;;na;;;;;;;;;x
GOD_KOKOPELLI;Kokopelli;na;na;;na;;;;;;;;;x
GOD_AWANYU;Awanyu;na;na;;na;;;;;;;;;x
THE_SACRED_TABLETS;the Sacred Tablets;na;Na;;Na;;;;;;;;;x
midewiwin;Midewiwin;na;na;;na;;;;;;;;;x
GOD_GITCHEE_MANITOU;Manito;na;na;;na;;;;;;;;;x
GOD_NANABOZHO;Nanabozho;na;na;;na;;;;;;;;;x
GOD_GIIZHIGOOKWE;Giizhigookwe;na;na;;na;;;;;;;;;x
THE_AADIZOOKAAN_SCROLLS;the Aadizookaan Scrolls;na;na;;na;;;;;;;;;xz
gagohsa;Gagöhsa;na;na;;na;;;;;;;;;x
GOD_HAHGWEHDIYU;Hahgwehdiyu;na;na;;na;;;;;;;;;x
GOD_HA_WEN_NEYU;Ha Wen Neyu;na;na;;na;;;;;;;;;x
GOD_ATAHENSIC;Atahensic;na;na;;na;;;;;;;;;x
animist;Animist;na;na;;na;;;;;;;;;x
GOD_WAKAN_TANKA;Wakan Tanka;na;na;;na;;;;;;;;;x
GOD_GREAT_ONE;Great One;na;na;;na;;;;;;;;;x
THE_GREAT_MYSTERY;the Great Mystery;na;na;;na;;;;;;;;;x
shikla;Shikla;na;na;;na;;;;;;;;;x
GOD_ITALAPAS;Italapas;na;na;;na;;;;;;;;;x
GOD_NEAHKANIE;Neahkanie;na;na;;na;;;;;;;;;x
GOD_IOI;Ioi;na;na;;na;;;;;;;;;x
THE_OLD_LORE;The Old Lore;NA;NA;;NA;;;;;;;;;x
numa;Numa;na;na;;na;;;;;;;;;x
GOD_ISSA;Issa;na;na;;na;;;;;;;;;x
GOD_GREAT_WOLF;Great Wolf;na;na;;na;;;;;;;;;x
