#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_amazon;Amazon;Amazon;Amazon;;;;;;;;;;;x
e_amazon_adj;Amazonian;;amazonisch;;;;;;;;;;;x
e_arawak;Arawak;Arawak;Arawak;;;;;;;;;;;x
e_arawak_adj;Arawakian;;arawakisch;;;;;;;;;;;x
e_gustwenata;Gustwenata;Gustwenata;Gustwenata;;;;;;;;;;;x
e_gustwenata_adj;Gustwenatian;;gustwenatisch;;;;;;;;;;;x
e_mexico;Mexico;Mexico;Mexico;;;;;;;;;;;x
e_mexico_adj;Mexician;;mexicisch;;;;;;;;;;;x
e_mississippi;Mississippi;Mississippi;Mississippi;;;;;;;;;;;x
e_mississippi_adj;Mississippian;;mississippisch;;;;;;;;;;;x
e_nehiyaw_pwat;Nehiyaw Pwat;Nehiyaw Pwat;Nehiyaw Pwat;;;;;;;;;;;x
e_nehiyaw_pwat_adj;Nehiyaw Pwatian;;nehiyaw pwatisch;;;;;;;;;;;x
e_pacific;Pacific;Pacific;Pacific;;;;;;;;;;;x
e_pacific_adj;Pacifician;;pacificisch;;;;;;;;;;;x
e_plains;Plains;Plains;Plains;;;;;;;;;;;x
e_plains_adj;Plainsian;;plainsisch;;;;;;;;;;;x
e_pueblo;Pueblo;Pueblo;Pueblo;;;;;;;;;;;x
e_pueblo_adj;Pueblian;;pueblisch;;;;;;;;;;;x
e_tawantinsuyu;Tawantinsuyu;Tawantinsuyu;Tawantinsuyu;;;;;;;;;;;x
e_tawantinsuyu_adj;Tawantinsuyian;;tawantinsuyisch;;;;;;;;;;;x
