#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_absaroka;Absaroka;Absaroka;Absaroka;;;;;;;;;;;x
k_absaroka_adj;Absarokian;;absarokisch;;;;;;;;;;;x
k_anasazi;Anasazi;Anasazi;Anasazi;;;;;;;;;;;x
k_anasazi_adj;Anasazian;;anasazisch;;;;;;;;;;;x
k_appalachee;Appalachee;Appalachee;Appalachee;;;;;;;;;;;x
k_appalachee_adj;Appalachian;;appalachisch;;;;;;;;;;;x
k_aztec;Aztec;Aztec;Aztec;;;;;;;;;;;x
k_aztec_adj;Aztecian;;aztecisch;;;;;;;;;;;x
k_caddo;Caddo;Caddo;Caddo;;;;;;;;;;;x
k_caddo_adj;Caddian;;caddisch;;;;;;;;;;;x
k_cahokia;Cahokia;Cahokia;Cahokia;;;;;;;;;;;x
k_cahokia_adj;Cahokian;;cahokisch;;;;;;;;;;;x
k_calusa;Calusa;Calusa;Calusa;;;;;;;;;;;x
k_calusa_adj;Calusian;;calusisch;;;;;;;;;;;x
k_caracas;Caracas;Caracas;Caracas;;;;;;;;;;;x
k_caracas_adj;Caracasian;;caracasisch;;;;;;;;;;;x
k_chibchan;Chibchan;Chibchan;Chibchan;;;;;;;;;;;x
k_chibchan_adj;Chibchanian;;chibchanisch;;;;;;;;;;;x
k_comancheria;Comancheria;Comancheria;Comancheria;;;;;;;;;;;x
k_comancheria_adj;Comancherian;;comancherisch;;;;;;;;;;;x
k_copan;Copan;Copan;Copan;;;;;;;;;;;x
k_copan_adj;Copanian;;copanisch;;;;;;;;;;;x
k_cubanacan;Cubanacan;Cubanacan;Cubanacan;;;;;;;;;;;x
k_cubanacan_adj;Cubanacanian;;cubanacanisch;;;;;;;;;;;x
k_cuzco;Cuzco;Cuzco;Cuzco;;;;;;;;;;;x
k_cuzco_adj;Cuzcian;;cuzcisch;;;;;;;;;;;x
k_haudenosaunee;Haudenosaunee;Haudenosaunee;Haudenosaunee;;;;;;;;;;;x
k_haudenosaunee_adj;Haudenosaunian;;haudenosaunisch;;;;;;;;;;;x
k_huasteca ;Huasteca ;Huasteca ;Huasteca ;;;;;;;;;;;x
k_huasteca _adj;Huasteca ian;;huasteca isch;;;;;;;;;;;x
k_kiskeya;Kiskeya;Kiskeya;Kiskeya;;;;;;;;;;;x
k_kiskeya_adj;Kiskeyian;;kiskeyisch;;;;;;;;;;;x
k_mayapan;Mayapan;Mayapan;Mayapan;;;;;;;;;;;x
k_mayapan_adj;Mayapanian;;mayapanisch;;;;;;;;;;;x
k_michoacan ;Michoacan ;Michoacan ;Michoacan ;;;;;;;;;;;x
k_michoacan _adj;Michoacan ian;;michoacan isch;;;;;;;;;;;x
k_nitassinan;Nitassinan;Nitassinan;Nitassinan;;;;;;;;;;;x
k_nitassinan_adj;Nitassinanian;;nitassinanisch;;;;;;;;;;;x
k_oaxaca;Oaxaca;Oaxaca;Oaxaca;;;;;;;;;;;x
k_oaxaca_adj;Oaxacian;;oaxacisch;;;;;;;;;;;x
k_oneota;Oneota;Oneota;Oneota;;;;;;;;;;;x
k_oneota_adj;Oneotian;;oneotisch;;;;;;;;;;;x
k_pindorama;Pindorama;Pindorama;Pindorama;;;;;;;;;;;x
k_pindorama_adj;Pindoramian;;pindoramisch;;;;;;;;;;;x
k_plaquemine;Plaquemine;Plaquemine;Plaquemine;;;;;;;;;;;x
k_plaquemine_adj;Plaqueminian;;plaqueminisch;;;;;;;;;;;x
k_tapuya;Tapuya;Tapuya;Tapuya;;;;;;;;;;;x
k_tapuya_adj;Tapuyian;;tapuyisch;;;;;;;;;;;x
k_three_fires;Three Fires;Three Fires;Three Fires;;;;;;;;;;;x
k_three_fires_adj;Three Firesian;;three firesisch;;;;;;;;;;;x
k_tiwanaku ;Tiwanaku ;Tiwanaku ;Tiwanaku ;;;;;;;;;;;x
k_tiwanaku _adj;Tiwanaku ian;;tiwanaku isch;;;;;;;;;;;x
k_tsalagihi;Tsalagihi;Tsalagihi;Tsalagihi;;;;;;;;;;;x
k_tsalagihi_adj;Tsalagihian;;tsalagihisch;;;;;;;;;;;x
k_tsenacommacah;Tsenacommacah;Tsenacommacah;Tsenacommacah;;;;;;;;;;;x
k_tsenacommacah_adj;Tsenacommacahian;;tsenacommacahisch;;;;;;;;;;;x
k_tsinuk;Tsinuk;Tsinuk;Tsinuk;;;;;;;;;;;x
k_tsinuk_adj;Tsinukian;;tsinukisch;;;;;;;;;;;x
k_vinland;Vinland;Vinland;Vinland;;;;;;;;;;;x
k_vinland_adj;Vinlandian;;vinlandisch;;;;;;;;;;;x
k_wabanaki;Wabanaki;Wabanaki;Wabanaki;;;;;;;;;;;x
k_wabanaki_adj;Wabanakian;;wabanakisch;;;;;;;;;;;x
k_wahgoshig;Wahgoshig;Wahgoshig;Wahgoshig;;;;;;;;;;;x
k_wahgoshig_adj;Wahgoshigian;;wahgoshigisch;;;;;;;;;;;x
k_wari;Wari;Wari;Wari;;;;;;;;;;;x
k_wari_adj;Warian;;warisch;;;;;;;;;;;x
k_wichita;Wichita;Wichita;Wichita;;;;;;;;;;;x
k_wichita_adj;Wichitian;;wichitisch;;;;;;;;;;;x
k_yokutsan;Yokutsan;Yokutsan;Yokutsan;;;;;;;;;;;x
k_yokutsan_adj;Yokutsanian;;yokutsanisch;;;;;;;;;;;x
