chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;x
han;Han;Han;Han;Han;Han;Han;Han;Han;Han;Han;Han;Han;Han;x
e_china;China;China;China;China;China;China;China;China;China;China;China;China;China;x
k_ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;x
d_cricheng;Cri-cheng;Cri-cheng;Cri-cheng;Cri-cheng;Cri-cheng;Cri-cheng;Cri-cheng;Cri-cheng;Cri-cheng;Cri-cheng;Cri-cheng;Cri-cheng;Cri-cheng;x
c_ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;Ze;x
b_lekzjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;Lek-zjeng;x
b_driangcheng;Driang-cheng;Driang-cheng;Driang-cheng;Driang-cheng;Driang-cheng;Driang-cheng;Driang-cheng;Driang-cheng;Driang-cheng;Driang-cheng;Driang-cheng;Driang-cheng;Driang-cheng;x
b_cjangkhiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;Cjang-khiu;x
b_limip;Lim-'ip;Lim-'ip;Lim-'ip;Lim-'ip;Lim-'ip;Lim-'ip;Lim-'ip;Lim-'ip;Lim-'ip;Lim-'ip;Lim-'ip;Lim-'ip;Lim-'ip;x
b_yoxzjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;Yox-zjeng;x
b_liughrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;Liu-ghrueng;x
b_suonkrengx;Suon-krengx;Suon-krengx;Suon-krengx;Suon-krengx;Suon-krengx;Suon-krengx;Suon-krengx;Suon-krengx;Suon-krengx;Suon-krengx;Suon-krengx;Suon-krengx;Suon-krengx;x
