assyrian;Assyrian;Assyrien;Assyrer;;Asirio;;;;;;;;;x
hebrew;Hebrew;Hébreu;Hebräisch;;Hebreo;;;;;;;;;x
yevani;Yevani;Yevani;Yevani;;Yevani;;;;;;;;;x
italiki;Italiki;Italiki;Italiki;;Italiki;;;;;;;;;x
mizrahi;Mizrahi;Mizrahi;Mizrahi;;Mizrahi;;;;;;;;;x
falashi;Falashi;Falashi;Falashi;;Falashi;;;;;;;;;x
karai;Karai;Karai;Karai;;Karai;;;;;;;;;x
parasi;Parasi;Parasi;Parasi;;Parasi;;;;;;;;;x
hodui;Hodui;Hodui;Hodui;;Hodui;;;;;;;;;x
zhuhui;Zhuhui;Zhuhui;Zhuhui;;Zhuhui;;;;;;;;;x
coptic;Coptic;Copte;Koptisch;;Copto;;;;;;;;;x
guanchinet;Guanchinet;Guanches;Guanchen;;Guanchos;;;;;;;;;x
berberic;Berberic;Berbere;Berberischen;;Berberiscos;;;;;;;;;x
xianbei;Xianbei;Xianbei;Xianbei;;Xianbei;;;;;;;;;x
sivullirmiut;Sivullirmiut;Sivullirmiut;Sivullirmiut;Sivullirmiut;Sivullirmiut;;;;;;;;;x
tuniq;Tuniq;Tuniq;Tuniq;Tuniq;Tuniq;;;;;;;;;x
taiwanese;Taiwanese;Taïwanais;Taiwanisch;;Taiwáno;;;;;;;;;x
middag;Middag;Middag;Middag;;Middag;;;;;;;;;x
kilai;Kilai;Kilai;Kilai;;Kilai;;;;;;;;;x
omotic;Omotic;Omotic;Omotic;Omotic;Omotic;;;;;;;;;x
interior_cushitic;Interior Cushitic;Interior Cushitic;Interior Cushitic;Interior Cushitic;Interior Cushitic;;;;;;;;;x
syriac;Syriac;Syriac;Syriac;;Syriac;;;;;;;;;x
tai_kadai;Tai-Kadai;Tai-Kadai;Tai-Kadai;Tai-Kadai;Tai-Kadai;;;;;;;;;x
zhuang;Zhuang;Zhuang;Zhuang;Zhuang;Zhuang;;;;;;;;;x
hmong_mien;Hmong-Mien;Hmong-Mien;Hmong-Mien;Hmong-Mien;Hmong-Mien;;;;;;;;;x
hmong;Hmong;Hmong;Hmong;Hmong;Hmong;;;;;;;;;x
mien;Mien;Mien;Mien;Mien;Mien;;;;;;;;;x
lolo;Lolo;Lolo;Lolo;Lolo;Lolo;;;;;;;;;x
qiang;Qiang;Qiang;Qiang;Qiang;Qiang;;;;;;;;;x
nilotic;Nilotic;Nilotic;Nilotic;Nilotic;Nilotic;;;;;;;;;x
kalanga;Kalanga;Kalanga;Kalanga;Kalanga;Kalanga;;;;;;;;;x
karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;x
east_bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;x
south_bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;x
wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;x
afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;x
venda_tsonga;Venda-Tsonga;Venda-Tsonga;Venda-Tsonga;Venda-Tsonga;Venda-Tsonga;;;;;;;;;x
ila_tong;Ila-Tonga;Ila-Tonga;Ila-Tonga;Ila-Tonga;Ila-Tonga;;;;;;;;;x
swahili;Swahili;Swahili;Swahili;Swahili;Swahili;;;;;;;;;x
